PID,AGE,SQ,Nor_AGE,Nor_SQ,Gender,Type
556,50,14,0.75,0.2,1,0
557,50,13,0.75,0.18,1,0
558,50,14,0.75,0.2,1,0
559,50,15,0.75,0.22,1,0
560,50,12,0.75,0.17,1,0
561,57,25,0.94,0.38,2,1
562,57,18,0.94,0.27,2,1
563,57,26,0.94,0.4,2,1
564,57,25,0.94,0.38,2,1
565,57,24,0.94,0.37,2,1
566,57,19,0.94,0.28,2,1
567,57,18,0.94,0.27,2,1
568,57,20,0.94,0.3,2,1
569,57,19,0.94,0.28,2,1
570,57,21,0.94,0.32,2,1
571,57,22,0.94,0.33,2,1
572,57,25,0.94,0.38,2,1
573,57,23,0.94,0.35,2,1
574,57,17,0.94,0.25,2,1
575,57,22,0.94,0.33,2,1
576,57,21,0.94,0.32,2,1
577,57,16,0.94,0.23,2,1
578,57,19,0.94,0.28,2,1
579,57,18,0.94,0.27,2,1
580,57,22,0.94,0.33,2,1
581,57,21,0.94,0.32,2,1
582,57,23,0.94,0.35,2,1
583,57,23,0.94,0.35,2,1
